spot_id,StdCorr_Rb87_Sr86s_mean,StdCorr_Rb87_Sr86s_2SE(int),StdCorr_Sr87s_Sr86s_mean,StdCorr_Sr87s_Sr86s_2SE(int),87Rb/86Sr - 87Sr/86Sr Rho,87Sr/87Rb - 87Rb/86Sr Rho,Rb85_mean,Na23_ppm_mean,Al27_ppm_mean,Si28_ppm_mean,K39_ppm_mean,Ca43_ppm_mean,Ca44_ppm_mean,Rb85_ppm_mean,Sr86_ppm_mean,Sr87_ppm_mean,Sr88_ppm_mean,Pb208_ppm_mean,Th232_ppm_mean,U238_ppm_mean
GM10_JR104-GC366_#20091,0.060402599,0.009976108,0.713925739,0.012895195,-0.069348581,-0.809936093,37005.72322,53331.4545,163340.3119,303833.8632,7693.543597,58393.66939,55176.15371,16.27590231,785.0169104,789.9449646,715.2588398,40.64990433,9.07E-05,1.25E-06
GM10_JR104-GC366_#20092,0.023339817,0.003509213,0.70609026,0.011962232,0.049319204,-0.790446106,27008.32719,52099.14886,167658.6955,303833.8632,5865.931139,63804.73011,60688.07964,12.03169291,1469.557564,1462.964491,1457.744897,8.877452466,0,0
GM10_JR104-GC366_#20093,0.014570796,0.002237184,0.712566064,0.012647237,-0.164018155,-0.726207742,10020.02414,52987.78637,170129.9994,303833.8632,3141.421178,66498.27146,63680.90569,5.10018845,993.1232819,998.0888307,970.9484605,9.577115062,0.669212307,1.94E-05
GM10_JR104-GC366_#20094,0.148799673,0.011517103,0.706892251,0.010817597,0.282481982,-0.91393131,164172.6112,41615.46777,192211.5284,303833.8632,18807.75883,78706.02749,74467.81629,70.20112162,1367.701072,1363.598466,1373.026824,14.92072644,0,0
GM10_JR104-GC366_#20096,0.183283397,0.021059179,0.709612925,0.011844718,0.129696729,-0.91648224,175421.7736,49558.13861,153508.878,303833.8632,16670.40783,59393.80655,56610.33526,60.45399277,940.1448444,942.0408596,943.686163,21.80065688,3.50E-07,0.000191797
GM10_JR104-GC366_#20097,0.20417561,0.026127295,0.704115757,0.012115307,0.051099064,-0.886321864,204221.0019,49366.89484,162595.3925,303833.8632,16216.32757,62008.47111,57371.39957,71.51625426,1025.144529,1018.369478,1016.809809,21.29302286,0.263191655,0
GM10_JR104-GC366_#20098,0.008795795,0.000527165,0.71377183,0.011453279,0.006080473,-0.910754496,7785.586949,58084.57441,154955.3999,303833.8632,4837.892172,49170.24596,45969.86969,3.868156436,1258.055157,1266.410166,1262.048034,13.65499059,0,0
GM11_NBP2002-27BC_#20031,27.9831238,0.542112685,0.786307571,0.017140538,0.410734811,-0.46006809,2428436.337,6562.92813,108270.575,303833.8632,135754.7786,434.5224149,161.3148876,785.9611455,79.43230902,87.90609664,69.08405373,40.1451905,1.24E-06,6.10E-05
GM11_NBP2002-27BC_#20035,5.038698509,0.10693937,0.721954357,0.012118826,0.252255205,-0.730986008,1699487.459,12744.6865,104236.6887,303833.8632,122129.9469,17017.34912,15545.53558,434.9812938,244.9169756,249.2466094,214.242754,32.96727259,0,0.000283977
GM11_NBP2002-27BC_#20036,1.834379755,0.031682075,0.716889141,0.012992191,0.129529594,-0.635331535,1273960.179,7466.946719,103425.5376,303833.8632,128661.91,209.206274,162.3831202,391.8150783,603.9467441,609.9065074,591.9670589,83.25961561,1.32E-05,0
GM11_NBP2002-27BC_#20037,30.09895553,0.64517656,0.891088297,0.018140574,0.420193436,-0.563506401,1900661.624,15523.99026,106246.8972,303833.8632,115919.7617,753.7696981,588.0539629,636.3280844,59.88888283,75.43189574,52.40565086,37.53425045,0,0
GM11_NBP2002-27BC_#20039,4.371345765,0.080031151,0.727148548,0.013086436,0.473226232,-0.527041155,1700502.337,8696.016438,108796.5116,303833.8632,130228.2461,1760.908982,1771.382671,520.6182132,336.4636305,344.5318398,295.0695429,73.97929634,0.000186705,0.000400883
GM11_NBP2002-27BC_#20042,2.464775426,0.051666865,0.712470295,0.012280473,0.652501592,-0.478364884,555298.5419,26528.92384,104884.4325,303833.8632,83904.0499,3190.937073,2649.158359,192.7686161,221.7448895,222.1940344,197.9868259,53.25456051,0,0
GM11_NBP2002-27BC_#20043,7.253220209,0.133864365,0.741901739,0.014249922,0.33997656,-0.563676307,1936024.013,6930.258692,101450.1028,303833.8632,132536.0801,343.8179836,184.9692578,566.1380446,221.1445455,231.1712086,193.1394446,100.016528,0,0
GM11_NBP2002-27BC_#20051,3.393883751,0.060088298,0.740673075,0.013708481,0.240605406,-0.731162862,1052142.707,10604.1551,108585.2489,303833.8632,119527.1076,850.1657234,488.5884044,389.8745675,323.2089092,339.1503552,285.4726294,89.87770361,0,1.63E-07
GM11_NBP2002-27BC_#20052,5.309943195,0.088794262,0.751311744,0.012093366,0.348781724,-0.580307128,1187610.104,8760.717434,102263.0176,303833.8632,126644.3766,549.4628224,414.6759355,391.950763,207.5617016,219.8622446,181.5457346,77.56630046,0.000295865,0
GM11_NBP2002-27BC_#20057,10.1755668,0.201887171,0.73423497,0.014403526,0.410948406,-0.627881807,1657091.911,4400.34435,104038.2136,303833.8632,130978.4406,1009.375562,767.1533645,547.0946319,153.0018547,158.2239078,132.2573162,34.6398771,0,1.03E-08
GM11_NBP2002-27BC_#20058,10.83689595,0.231094677,0.740273783,0.014610874,0.217358722,-0.675601581,1417993.837,5815.355014,104331.7777,303833.8632,132990.9591,549.715687,477.2620732,485.7313344,127.0806801,131.5597959,110.9651996,77.23403324,2.35E-05,0
GM11_NBP2002-27BC_#20059,2.024835652,0.037025148,0.715797384,0.012633334,0.25018963,-0.63229353,928632.3975,8347.891665,107651.1934,303833.8632,125780.7819,863.7417517,492.2962497,351.7694698,490.7401796,494.6393575,426.5948247,61.74077609,0,8.66E-10
GM11_NBP2002-27BC_#20060,0.185473243,0.020271418,0.710295627,0.012294703,-0.015339678,-0.883252903,168921.7862,50050.76694,159265.7531,303833.8632,15643.43602,53936.53088,45424.70426,65.56255686,1020.191939,1020.452858,1007.840366,24.62295512,5.63E-05,0
GM11_NBP2002-27BC_#20061,0.116706974,0.022519165,0.705929909,0.010974947,0.163275021,-0.767379246,120766.8364,36602.65787,197189.3492,303833.8632,13404.96856,94838.29011,83023.62256,51.09529422,1309.200634,1309.413722,1322.995508,10.27059993,0,7.12E-11
GM11_NBP2002-27BC_#20062,0.312075578,0.034906936,0.715554565,0.013204403,0.040735878,-0.865307438,149906.2108,48622.08524,172628.2559,303833.8632,12518.60086,66519.39683,57283.33087,59.17667844,542.400286,550.3900807,476.7810962,33.82192532,0,0
GM11_NBP2002-27BC_#20063,0.01143838,0.000753251,0.709221021,0.011101241,0.039687587,-0.920242157,14020.05763,43618.67152,188999.07,303833.8632,3775.655499,89164.65153,77676.83275,6.986080906,1746.998374,1746.422857,1754.401211,6.46141401,0,4.93E-12
GM11_NBP2002-27BC_#20064,0.335434065,0.015191331,0.706247323,0.013090216,0.130464586,-0.909296101,98488.70814,39457.55615,138839.6733,303833.8632,32848.33675,42624.08305,35950.02384,38.45141347,327.8254998,323.2207065,285.3747798,2.147108144,0.255960457,1.63E-12
GM11_NBP2002-27BC_#20065,2.559733763,0.061865685,0.713835524,0.01308072,0.141999234,-0.662621638,1088371.287,29155.55568,178290.4406,303833.8632,41069.66769,76563.47703,63542.65906,496.8819774,548.2640604,552.2373965,481.54112,9.022364476,9.43E-05,0
GM12_JR104-GC360_#20048,3.475238305,0.056693863,0.706848027,0.013384898,0.792937221,-0.230745085,416390.14,25097.78426,107503.3827,303833.8632,94449.18812,762.6302882,740.8066245,142.0465126,115.5993215,114.977784,101.0548053,40.71601811,6.79E-05,5.99E-11
GM12_JR104-GC360_#20049,0.672415195,0.011013321,0.709128036,0.012288494,0.153820724,-0.630824281,588177.8129,10007.19451,108506.992,303833.8632,119364.2709,780.5747275,530.2761207,219.1204195,920.2345874,916.2123849,927.0116958,47.78750246,0,0
GM12_JR104-GC360_#20050,7.871051332,0.134834679,0.714977953,0.011588316,0.396921607,-0.590348664,1298542.003,11490.92141,104826.0841,303833.8632,122338.6724,1345.54524,1096.311752,364.3513423,130.9128916,131.8437704,113.2124585,13.71999053,0,4.08E-10
GM12_JR104-GC360_#20051,13.39774518,0.214761535,0.7260665,0.016719836,0.172218963,0.121037137,1006813.373,22101.35145,100663.0844,303833.8632,101943.8241,577.2155783,411.3454013,273.8773195,57.84651218,59.26372289,50.43714401,35.50572276,0,0
GM12_JR104-GC360_#20052,4.156991164,0.071378288,0.700845557,0.010420288,0.263548938,-0.673856679,1022700.662,30070.56028,106770.0416,303833.8632,87049.60578,977.4761098,902.3640645,315.875715,215.0458186,212.3622929,186.9367892,16.73564335,0,6.08E-09
GM12_JR104-GC360_#20055,4.823285864,0.092812278,0.7151881,0.011706626,0.116268402,-0.569762035,1072286.568,18924.63938,108562.0289,303833.8632,112598.2369,1172.043824,787.8885894,301.569822,176.8245459,179.4243446,154.3785279,48.99372198,3.70E-05,0
GM12_JR104-GC360_#20056,11.06747114,0.243047184,0.711664568,0.015660685,0.47639634,-0.526968215,1400961.487,22454.20217,103958.8744,303833.8632,102915.9178,1124.456072,843.1137653,382.263128,97.9824705,97.9075279,84.47084164,19.36568701,0,7.70E-08
GM12_JR104-GC360_#20057,10.57159331,0.265872722,0.714791868,0.01305325,0.392635424,-0.679471188,1721132.556,11855.8467,105304.9571,303833.8632,123700.9789,994.8572553,594.2806356,452.1611431,121.5975294,122.5180209,104.7630069,50.68466904,3.11E-06,0
GM12_JR104-GC360_#20058,21.72197223,0.389149115,0.717642737,0.013222461,0.468086478,-0.45863684,1792566.871,12338.16047,106418.6937,303833.8632,123106.9395,607.6675452,562.3101156,530.9046722,69.14112217,69.81162793,60.43176089,53.67368619,0,0.000451778
GM12_JR104-GC360_#20061,1.927578547,0.030938375,0.704650223,0.013084267,0.268734334,-0.405111558,910771.4641,17595.10294,108178.5723,303833.8632,107597.8025,748.111664,510.8424744,289.6380398,424.5507907,424.3820567,378.4315246,34.94567585,8.05E-10,0
GM12_JR104-GC360_#20063,2.038787482,0.033321575,0.708495719,0.011802572,0.410099656,-0.538066653,884688.0983,9064.367731,106115.3262,303833.8632,125320.4932,440.0806266,179.9711359,287.8354159,399.1442797,397.9901847,348.9120346,39.44126181,0,0
GM12_JR104-GC360_#20067,1.410217876,0.031002306,0.707980773,0.013084475,0.244897567,-0.702064988,719363.2495,21586.74197,108722.5946,303833.8632,100512.7516,1271.029388,1029.645062,229.9914706,461.3964527,457.5292174,403.0584166,30.31179728,3.92E-11,0.000316993
GM12_JR104-GC360_#20068,5.272238987,0.086654954,0.709282149,0.011924773,0.457266985,-0.618228717,1506100.273,15541.46011,104379.9965,303833.8632,119215.0277,805.5599185,616.7421031,399.5717759,215.1221482,214.5025904,187.2174028,23.24399013,3.78E-11,0
GM12_JR104-GC360_#20070,14.44772987,0.279214417,0.716313961,0.012708625,0.365448241,-0.626091279,1295911.028,21906.08369,103613.9546,303833.8632,104124.6748,629.175473,534.6614974,356.0246981,69.91377638,70.4914097,60.87934267,43.47397567,0,1.51E-05
GM12_JR104-GC360_#20071,33.32539731,0.873981128,0.760896755,0.014918517,0.590429067,-0.733339956,1562630.794,15295.55512,105067.1558,303833.8632,115111.8747,546.0782094,424.4616381,458.2621821,39.1841177,42.10893213,34.5107948,3.683012728,8.38E-10,1.97E-05
GM12_JR104-GC360_#20072,15.31948807,0.253002333,0.71551216,0.013783576,0.161683403,-0.580563121,1065879.391,29722.24396,106943.6179,303833.8632,84865.84066,1058.819829,792.3839761,360.3684232,66.27032791,66.81682473,57.50664639,27.31805464,0,0
GM12_JR104-GC360_#20076,5.859678585,0.079430934,0.714788806,0.010245,0.306573221,-0.647603224,1392410.559,7225.601217,103931.4844,303833.8632,129551.2603,527.5181826,369.7652084,382.2043618,185.652524,187.0330185,161.130575,23.95292772,1.06E-08,0.000324441
GM12_JR104-GC360_#20078,3.279624481,0.050192184,0.706745291,0.012552815,0.313047909,-0.50972235,930528.3691,14684.2837,105330.3627,303833.8632,112496.5202,323.9035829,360.2870645,313.4686059,270.2411522,268.4934208,236.3472319,16.38301761,0,0
