## to be used for replicating the Rb-Sr processing only. Please refer to the Polar Data Centre deposit for the final data.
spot_id,StdCorr_Rb87_Sr86s_mean,StdCorr_Rb87_Sr86s_2SE(int),StdCorr_Sr87s_Sr86s_mean,StdCorr_Sr87s_Sr86s_2SE(int),87Rb/86Sr - 87Sr/86Sr Rho,87Sr/87Rb - 87Rb/86Sr Rho,Na23_ppm_mean,K39_ppm_mean,Ca43_ppm_mean
GM00_example,0.306179407,0.008924821,0.71188978,0.01452933,0.217494343,-0.790961158,58938.28009,14191.03615,10894.90832
GM00_example,0.071668859,0.012564033,0.71642153,0.014060608,-0.129035989,-0.805607277,60899.61193,2778.993009,31897.66826
GM00_example,0.284789485,0.031699906,0.706876891,0.017135197,-0.038384501,-0.903229134,54090.5744,11887.07048,37780.76814
GM00_example,0.565570145,0.029302628,0.714866982,0.017875019,-0.072555738,-0.912748741,63499.23342,12582.71289,5124.629514
GM00_example,0.210721044,0.022490365,0.708962038,0.017491764,0.090407033,-0.904743342,55477.22141,796.0074005,61770.54443
GM00_example,0.419037718,0.037756618,0.716509994,0.015337781,0.023703406,-0.900031994,65832.50414,7902.22594,9309.411038
GM00_example,0.087467415,0.010457914,0.698786087,0.016392066,0.08961296,-0.878816258,28764.7192,10879.37714,101785.4738
GM00_example,0.712643366,0.037626919,0.713247312,0.017271211,0.108935082,-0.882937617,61433.03381,13989.56866,3499.080634
GM00_example,0.161878406,0.017646613,0.709626164,0.014657341,0.037935133,-0.871658583,47013.73982,11052.97868,51924.37936
GM00_example,0.475681307,0.041293655,0.700784148,0.013891044,0.145549872,-0.935253125,49732.33993,24280.16797,17542.84784
GM00_example,0.294095968,0.025086687,0.704080052,0.017206805,-0.026974807,-0.89417391,63352.6381,4966.055123,16344.17148
GM00_example,0.022202588,0.003533357,0.703821664,0.015641982,0.079184688,-0.677602522,55358.4873,2190.299622,47418.7286
GM00_example,0.020540117,0.003736364,0.700216305,0.016684106,0.227105663,-0.564737056,61012.08574,2131.663588,34432.61668
GM00_example,0.13170236,0.005030716,0.705201628,0.017628282,0.26268375,-0.825104488,70219.11802,5491.887752,1544.274333
GM00_example,0.06617811,0.010911461,0.716830929,0.018280132,0.359859823,-0.738433831,62881.16645,4017.748607,22095.40956
GM00_example,0.029269558,0.004886793,0.704706255,0.016156183,0.272706092,-0.536133925,74617.64541,917.1175264,618.0382066
GM00_example,0.921670578,0.102176575,0.695764321,0.017633519,0.064914514,-0.89665973,70613.23198,5103.5468,574.4009796
GM00_example,0.012452799,0.001202934,0.706319268,0.014245012,-0.066983934,-0.899506391,39197.37662,2888.181512,82922.51362
GM00_example,0.322382981,0.026306771,0.699620627,0.017541278,0.149601328,-0.914805296,72821.03276,2900.09867,530.2105228
GM00_example,1.374704138,0.06863988,0.713097463,0.016835628,0.249773335,-0.878801305,61023.45638,21113.05943,2403.858201
GM00_example,0.810412882,0.027629564,0.711334877,0.016159467,0.133574579,-0.830012877,63803.4445,15202.05585,4602.236511
GM00_example,0.079630129,0.01011178,0.701311003,0.016643156,-0.014536839,-0.903079533,60831.29348,7848.818283,24263.33256
GM00_example,0.192843162,0.027957873,0.710055063,0.01405932,-0.12022399,-0.845770069,56292.55822,6517.296129,44125.17092
GM00_example,0.896026415,0.038211735,0.713989742,0.017183047,0.049931439,-0.861552925,70574.32118,5758.304635,1324.221708
GM00_example,0.155806079,0.017625888,0.699538036,0.01471328,0.009393477,-0.883325817,59289.92673,6262.670918,36263.52053
GM00_example,0.096336609,0.013299265,0.705534147,0.015454783,0.101600376,-0.792275503,60322.32951,5530.145366,26267.98073
GM00_example,0.086964453,0.009569853,0.707589687,0.014298934,0.021818164,-0.916989188,61164.89217,5620.58354,33479.14437
GM00_example,0.059813627,0.008323561,0.705276555,0.017862267,-0.021219441,-0.893730157,62001.6927,5209.842434,26112.45556
GM00_example,0.453995023,0.026031716,0.719817568,0.014074139,-0.068646685,-0.901149389,70987.33801,3888.629817,4161.501133
GM00_example,0.497849107,0.016915003,0.697860254,0.015297924,0.216526722,-0.816068944,60972.16437,13406.99915,5867.363706
GM00_example,0.043851485,0.002423988,0.711848244,0.01727472,0.111824001,-0.886966714,53523.71718,5401.331017,40619.75644
GM00_example,0.757098797,0.022464158,0.708050591,0.018530461,0.172465076,-0.762055695,45110.11707,29025.24672,27787.7595
GM00_example,0.468739893,0.024855654,0.700787023,0.019441019,0.228310953,-0.833689218,71706.49965,2062.66655,2846.180478
GM00_example,0.469266773,0.014801379,0.716165234,0.016364553,0.263321757,-0.79372633,60318.89867,15870.46405,11764.30096
NIST610_31,2.305213799,0.025949906,0.711611851,0.008760205,0.277601087,-0.525579912,100058.38,461.6847585,82443.47223
NIST610_32,2.332266201,0.019412763,0.71543734,0.009769962,0.33603118,-0.519460453,98707.35997,470.6751807,83180.00386
NIST610_33,2.335230278,0.028166416,0.710995755,0.010191182,0.672334996,-0.304543479,99903.29544,460.8247442,79545.58609
NIST610_34,2.314427259,0.02485734,0.710648612,0.008376782,0.293369792,-0.560254665,99513.17571,460.5815285,82701.71384
NIST610_35,2.334583017,0.015870789,0.705025068,0.007429108,0.360557311,-0.448582397,99215.56755,466.4014519,82740.84185
NIST610_36,2.343198877,0.029602206,0.704314612,0.008187987,0.227909691,-0.6407275,99341.09842,463.3863645,80495.38958
NIST610_37,2.363136832,0.027059489,0.708095544,0.007971905,0.262740327,-0.68461289,99419.56091,466.4266187,84291.98594
NIST610_38,2.347981781,0.030308548,0.711238357,0.010529526,0.226829979,-0.584356976,100387.0448,465.9360139,82259.78209
NIST610_39,2.346796782,0.028297583,0.711409099,0.010862022,0.392487802,-0.487071395,98865.62747,460.8303856,81685.68341
NIST610_40,2.31259031,0.022099258,0.712053985,0.008912079,0.31846133,-0.537098639,98763.20522,464.0898555,80335.55641
NIST610_41,2.313301158,0.027380989,0.708649521,0.007201328,0.158207478,-0.653407367,100383.2582,464.7307124,84031.78452
NIST610_42,2.326519736,0.024584974,0.713648621,0.009770391,0.505660897,-0.345922424,99015.30323,464.3323858,81790.36455
