spot_id,StdCorr_Rb87_Sr86s_mean,StdCorr_Rb87_Sr86s_2SE(int),StdCorr_Sr87s_Sr86s_mean,StdCorr_Sr87s_Sr86s_2SE(int),87Rb/86Sr - 87Sr/86Sr Rho,87Sr/87Rb - 87Rb/86Sr Rho,Rb85_mean,Na23_ppm_mean,Al27_ppm_mean,Si28_ppm_mean,K39_ppm_mean,Ca43_ppm_mean,Ca44_ppm_mean,Rb85_ppm_mean,Sr86_ppm_mean,Sr87_ppm_mean,Sr88_ppm_mean,Pb208_ppm_mean,Th232_ppm_mean,U238_ppm_mean,StdCorr_Rb87_Sr86s_mean_calibr,ext_sys_errs_2rs_partial_sum_sq,session,grain_name,sample_name,replicate,group,age,age_2s_int,err2s_ext
GM10_JR104-GC366_#20074,14.68537319,0.606055325,0.717429278,0.022021813,0.352488825,-0.703428358,NA,19631.41664,96106.94488,303833.8632,112120.6303,1663.587219,877.1071589,388.0594568,77.1399434,78.7609695,77.23268888,33.03590304,0,0,12.818787322597688,0.003582100831773902,2,GM10_JR104-GC366_#00074,JR104-GC366,0,E,47.8505576328521,106.57556054224553,106.61403263509511
GM10_JR104-GC366_#20083,21.01883097,0.830779924,0.727614466,0.022369842,0.473791031,-0.792597744,NA,12910.85838,97455.77949,303833.8632,117910.6573,1274.462962,968.4476596,568.4724629,83.19478088,84.29917458,83.12426102,50.1304118,0,0,18.347230301068002,0.003582100831773902,2,GM10_JR104-GC366_#00083,JR104-GC366,0,E,68.09268219739619,74.8625786303384,74.97342526381411
GM10_JR104-GC366_#20084,6.992398144,0.224233463,0.7348479,0.026996432,0.272667086,-0.544855661,NA,63254.45176,95963.1899,303833.8632,30186.27577,3342.63248,1927.508041,123.5371532,52.36085982,54.79805277,53.40472723,17.87887986,0,0,6.103628659835427,0.003582100831773902,2,GM10_JR104-GC366_#00084,JR104-GC366,0,E,278.2780894317859,272.95965095209516,273.4673001692665
GM10_JR104-GC366_#20087,2.383404819,0.061904874,0.715005812,0.021308835,0.268078704,-0.56010205,NA,14868.8292,99439.27537,303833.8632,116475.8021,1650.984194,602.5154023,265.6086435,334.9331242,337.4679253,337.7370098,42.70340651,0,0,2.080461904721635,0.003582100831773902,2,GM10_JR104-GC366_#00087,JR104-GC366,0,E,221.81149160311458,636.3890786579569,636.5275327950127
GM11_NBP2002-27BC_#20032,39.55345633,2.967080007,0.810162089,0.022565012,0.434547359,-0.858737918,NA,22013.70672,94886.89943,303833.8632,108930.5178,546.3139279,295.5384579,994.4082578,79.890898000000007,88.75281951,79.34188296,74.52186912,0,1.407001279,34.52601020130598,0.003582100831773902,2,GM11_NBP2002-27BC_#00032,NBP2002-27BC,0,C,185.3310959986295,36.877136265570805,38.50921707755743
GM11_NBP2002-27BC_#20034,3.336387681,0.093599073,0.715619291,0.015681505,0.354907627,-0.691354078,NA,7528.324669,90179.20252,303833.8632,117685.7699,1112.907064,919.1495154,384.892573,347.251607,354.0334764,345.2517156,97.83908378,0,0,2.9123157821823047,0.003582100831773902,2,GM11_NBP2002-27BC_#00034,NBP2002-27BC,0,X,171.65482663811517,333.9148145963236,334.07282344923226
GM11_NBP2002-27BC_#20038,0.820895261,0.026932744,0.711154461,0.021595224,0.253312279,-0.69989277,NA,13331.08687,101615.9001,303833.8632,120200.6847,0,432.1698776,279.3718241,1035.969389,1044.241657,1038.022841,86.28528543,0,0,0.7165552845502675,0.003582100831773902,2,GM11_NBP2002-27BC_#00038,NBP2002-27BC,0,C,308.5558844654555,1872.1981640701476,1872.2892419890961
GM11_NBP2002-27BC_#20041,24.64466333,0.751518368,0.825385944,0.019996029,0.40311365,-0.633516118,NA,8825.543135,92023.84337,303833.8632,124303.9163,750.8298971,721.7779253,738.618845,90.4592489,105.3813022,88.71493737,72.74506543,0,0,21.512200866602022,0.003582100831773902,2,GM11_NBP2002-27BC_#00041,NBP2002-27BC,0,X,341.23019238510864,54.44577027724727,58.15010503898042
GM11_NBP2002-27BC_#20045,7.339239924,0.209242304,0.751964732,0.016461326,0.376504564,-0.767663175,NA,13071.74324,93501.8323,303833.8632,119877.6789,1549.307118,848.134189,459.4488597,187.7487067,199.9018859,185.5129756,82.59907284,0,0,6.406385079770248,0.003582100831773902,2,GM11_NBP2002-27BC_#00045,NBP2002-27BC,0,D,431.263291925659,155.36549255595384,157.49496545361922
GM11_NBP2002-27BC_#20046,207.3912613,14.84306672,1.08689052,0.041993533,0.721222813,-0.775703225,NA,4439.640403,95344.10795,303833.8632,135958.2032,366.4330514,136.4461827,1244.054534,18.72725842,29.7648475,17.70542369,88.01686219,0,0,181.03077373479974,0.003582100831773902,2,GM11_NBP2002-27BC_#00046,NBP2002-27BC,0,C,130.77272581730404,10.078703243647784,12.76086114992409
