## to be used for replicating the Pb isotope clustering only. Please refer to the Polar Data Centre deposit for the final data.
spot_id,208Pb_207Pb_mean,208Pb_207Pb_2SE,206Pb_207Pb_mean,206Pb_207Pb_2SE
GM00_example,2.41989,0.000194017,1.1658,0.000150416
GM00_example,2.42434,0.000485081,1.16729,0.000323407
GM00_example,2.42372,0.000152076,1.16254,0.000103002
GM00_example,2.43716,0.000422998,1.1648,0.000280627
GM00_example,2.47631,0.000550803,1.22017,0.000766841
GM00_example,2.43394,0.000367821,1.17019,0.000268884
GM00_example,2.42126,0.000181707,1.16449,0.000187304
GM00_example,2.42403,0.000427706,1.1746,0.000460881
GM00_example,2.4574,0.00663501,1.19511,0.00217768
GM00_example,2.45998,0.000847312,1.19653,0.000550802
GM00_example,2.42305,0.000223697,1.16712,0.000146939
GM00_example,2.42393,0.000228824,1.16489,0.000140773
GM00_example,2.4589,0.000618396,1.19428,0.000380267
GM00_example,2.42959,0.000406121,1.17247,0.000290956
GM00_example,2.4197,0.000171452,1.16588,9.02E-05
GM00_example,2.46017,0.000429357,1.19575,0.000299358
GM00_example,2.45804,0.000366756,1.19324,0.000222382
GM00_example,2.42463,0.000187262,1.16283,0.000127592
GM00_example,2.46123,0.000718721,1.19497,0.000432117
GM00_example,2.42288,0.000193502,1.16549,0.000107582
GM00_example,2.42781,0.000759192,1.17617,0.000703144
GM00_example,2.42444,0.000319874,1.16744,0.000206872
GM00_example,2.46429,0.000615303,1.20385,0.000452133
GM00_example,2.43682,0.00190921,1.17952,0.00177615
GM00_example,2.45906,0.000466306,1.19379,0.0003166
GM00_example,2.45875,0.000583938,1.19714,0.00032346
GM00_example,2.45928,0.00131076,1.19849,0.000533217
GM00_example,2.43565,0.00173513,1.1772,0.00116304
GM00_example,2.46893,0.000653086,1.2024,0.000443802
GM00_example,2.46734,0.000579787,1.20715,0.000432537
GM00_example,2.47231,0.00110983,1.20432,0.00065628
GM00_example,2.47195,0.000923253,1.20647,0.000527129
GM00_example,2.46563,0.000707318,1.20252,0.000813526
GM00_example,2.46666,0.0012504,1.20197,0.000813369
GM00_example,2.4671,0.00129355,1.20043,0.000902574
GM00_example,2.46629,0.000892628,1.20071,0.000517928
GM00_example,2.46855,0.00132592,1.20266,0.000879391
GM00_example,2.46241,0.000588659,1.1957,0.000302236
GM00_example,2.4667,0.000814044,1.20148,0.000550392
GM00_example,2.46679,0.000718671,1.20283,0.000683416
GM00_example,2.4661,0.000527966,1.19966,0.000400981
GM00_example,2.46949,0.000774585,1.2025,0.000479377
GM00_example,2.46693,0.000730474,1.20172,0.000588255
GM00_example,2.46061,0.00145555,1.19516,0.000251368
GM00_example,2.47146,0.00123393,1.20611,0.00126813
GM00_example,2.4666,0.000779616,1.20502,0.0010443
GM00_example,2.47889,0.00199345,1.20674,0.00113744
GM00_example,2.46798,0.00109726,1.2035,0.000480855
GM00_example,2.4697,0.00184519,1.20969,0.00105188
GM00_example,2.46857,0.000682661,1.2106,0.000480819
GM00_example,2.47502,0.000962246,1.20723,0.000599806
GM00_example,2.4665,0.000656216,1.20034,0.000380366
GM00_example,2.47948,0.00157153,1.36114,0.0309575
GM00_example,2.46905,0.00129206,1.20104,0.000635006
GM00_example,2.46435,0.000639743,1.19941,0.000415881
GM00_example,2.48157,0.00138682,1.20776,0.000882507
GM00_example,2.47241,0.00128303,1.20516,0.000742212
GM00_example,2.46792,0.000952361,1.2015,0.000587026
GM00_example,2.47104,0.00100626,1.20305,0.000539667
GM00_example,2.48,0.00166939,1.21155,0.00117618
GM00_example,2.4649,0.000937228,1.20018,0.000530905
GM00_example,2.46582,0.000672256,1.20588,0.00137677
GM00_example,2.4698,0.000660932,1.20206,0.000373171
GM00_example,2.46558,0.000505459,1.20107,0.000346116
GM00_example,2.46697,0.000815941,1.20082,0.000494271
