## to be used for replicating the Rb-Sr processing only. Please refer to the Polar Data Centre deposit for the final data.
spot_id,StdCorr_Rb87_Sr86s_mean,StdCorr_Rb87_Sr86s_2SE(int),StdCorr_Sr87s_Sr86s_mean,StdCorr_Sr87s_Sr86s_2SE(int),87Rb/86Sr - 87Sr/86Sr Rho,87Sr/87Rb - 87Rb/86Sr Rho
GM00_example,5.086464577,0.125579072,0.719912554,0.019899615,0.390102667,-0.500156187
GM00_example,7.067160521,0.196536053,0.715240881,0.016687121,0.197178175,-0.703241215
GM00_example,16.56999261,0.441791389,0.724792617,0.016525991,0.419500401,-0.502624965
GM00_example,14.96153623,0.541839723,0.720104633,0.025053043,0.28772543,-0.596058337
GM00_example,21.59557365,0.609606269,0.730304056,0.025533288,0.443647716,-0.520044392
GM00_example,6.851601751,0.228086226,0.729532201,0.027226063,0.220577332,-0.593010277
GM00_example,2.368478787,0.067675602,0.712116373,0.023176479,0.344156136,-0.493021482
GM00_example,3.312433548,0.085632111,0.716770136,0.016640143,0.2968663,-0.659291064
GM00_example,0.802162695,0.023462711,0.708767703,0.022729081,0.359928818,-0.576653753
GM00_example,25.09574153,0.796938926,0.828956156,0.02055949,0.358242541,-0.62915899
GM00_example,4.111521009,0.800463832,0.838765232,0.144375652,0.809433718,-0.322530453
GM00_example,7.445774043,0.182251556,0.75453265,0.017833506,0.415732968,-0.584246838
GM00_example,77.63134372,3.439170799,1.124435233,0.039269711,0.555383682,-0.710127246
GM00_example,6.842786111,0.155353246,0.780742567,0.020274804,0.378829925,-0.53936421
GM00_example,5.037818882,0.108471944,0.747916559,0.016161387,0.383359545,-0.506235466
GM00_example,110.0033662,5.39410834,0.952993868,0.035002587,0.668221079,-0.602506724
GM00_example,0.976280805,0.019996735,0.715361557,0.017947148,0.366395435,-0.513057455
GM00_example,0.677993388,0.017540458,0.704323182,0.016833334,0.334046457,-0.626405794
GM00_example,15.12641924,0.488805715,0.709627883,0.021569032,0.455818855,-0.585155183
GM00_example,2.008742889,0.049540204,0.711001914,0.017238357,0.347521191,-0.572601298
GM00_example,1.41323127,0.041440362,0.704606564,0.015191582,0.197677192,-0.765956545
GM00_example,1.933038568,0.061217135,0.714566287,0.016635567,0.20631087,-0.760954118
GM00_example,1.276405534,0.025062265,0.716827125,0.016994593,0.366771571,-0.514153351
GM00_example,1.725750551,0.067613413,0.706139994,0.017201152,0.185494596,-0.81231006
GM00_example,1.184099576,0.049394202,0.710544203,0.017886908,-0.04182908,-0.645618706
GM00_example,2.405030874,0.056899938,0.703834384,0.018239431,0.351548941,-0.519695284
GM00_example,2.214245541,0.05540333,0.713816309,0.016963504,0.369636243,-0.606649429
GM00_example,1.640725647,0.038387396,0.706666658,0.017432053,0.234069499,-0.593041786
